date,open,high,low,close,volume
2024-05-20 14:59:00,211.39,211.39,211.28,211.29,1378
2024-05-20 15:00:00,211.27,211.27,211.27,211.27,100
2024-05-20 15:01:00,211.27,211.27,211.19,211.22,6772
2024-05-20 15:03:00,211.28,211.31,211.22,211.3,1700
2024-05-20 15:04:00,211.3,211.395,211.3,211.33,1000
2024-05-20 15:05:00,211.335,211.4,211.335,211.4,465
2024-05-20 15:06:00,211.41,211.41,211.37,211.395,876
2024-05-20 15:07:00,211.385,211.49,211.385,211.49,520
2024-05-20 15:08:00,211.49,211.5,211.435,211.435,807
2024-05-20 15:09:00,211.485,211.49,211.485,211.49,238
2024-05-20 15:10:00,211.52,211.52,211.438,211.515,1161
2024-05-20 15:11:00,211.5,211.5,211.4101,211.4101,2580
2024-05-20 15:12:00,211.475,211.5299,211.39,211.39,923
2024-05-20 15:14:00,211.465,211.53,211.44,211.53,1600
2024-05-20 15:15:00,211.5,211.5,211.5,211.5,100
2024-05-20 15:16:00,211.55,211.61,211.55,211.61,600
2024-05-20 15:17:00,211.57,211.58,211.57,211.58,821
2024-05-20 15:18:00,211.58,211.5825,211.53,211.53,500
2024-05-20 15:19:00,211.5305,211.545,211.5,211.545,2801
2024-05-20 15:20:00,211.51,211.525,211.44,211.525,4466
2024-05-20 15:21:00,211.5307,211.5486,211.5,211.5,1112
2024-05-20 15:22:00,211.46,211.5,211.46,211.5,1000
2024-05-20 15:23:00,211.46,211.46,211.38,211.395,1119
2024-05-20 15:24:00,211.37,211.37,211.37,211.37,100
2024-05-20 15:25:00,211.3736,211.385,211.3736,211.385,208
2024-05-20 15:26:00,211.37,211.4,211.33,211.3517,1395
2024-05-20 15:27:00,211.41,211.41,211.41,211.41,200
2024-05-20 15:28:00,211.41,211.49,211.36,211.465,3404
2024-05-20 15:29:00,211.3997,211.3997,211.38,211.38,833
2024-05-20 15:30:00,211.46,211.46,211.41,211.41,500
2024-05-20 15:31:00,211.49,211.49,211.45,211.45,400
2024-05-20 15:32:00,211.46,211.48,211.44,211.44,800
2024-05-20 15:33:00,211.46,211.49,211.43,211.43,1100
2024-05-20 15:34:00,211.49,211.49,211.445,211.46,1941
2024-05-20 15:35:00,211.475,211.52,211.44,211.51,924
2024-05-20 15:36:00,211.525,211.585,211.525,211.54,1500
2024-05-20 15:37:00,211.545,211.57,211.54,211.57,2249
2024-05-20 15:39:00,211.5401,211.65,211.5401,211.62,3374
2024-05-20 15:40:00,211.62,211.65,211.61,211.64,3156
2024-05-20 15:41:00,211.66,211.71,211.64,211.68,2824
2024-05-20 15:42:00,211.6716,211.75,211.6716,211.695,3900
2024-05-20 15:43:00,211.69,211.75,211.67,211.67,3796
2024-05-20 15:44:00,211.67,211.71,211.65,211.65,2586
2024-05-20 15:45:00,211.7,211.82,211.64,211.82,3841
2024-05-20 15:46:00,211.82,211.88,211.79,211.88,1943
2024-05-20 15:47:00,211.81,211.81,211.655,211.655,2068
2024-05-20 15:48:00,211.61,211.63,211.51,211.52,2240
2024-05-20 15:49:00,211.52,211.58,211.32,211.505,8709
2024-05-20 15:50:00,211.42,211.47,211.38,211.4525,1703
2024-05-20 15:51:00,211.47,211.5,211.43,211.49,2301
2024-05-20 15:52:00,211.5,211.5,211.4,211.42,2338
2024-05-20 15:53:00,211.41,211.495,211.41,211.43,2500
2024-05-20 15:54:00,211.46,211.46,211.26,211.28,4885
2024-05-20 15:55:00,211.31,211.32,211.21,211.3,7302
2024-05-20 15:56:00,211.31,211.35,211.2404,211.335,5878
2024-05-20 15:57:00,211.33,211.36,211.2,211.24,10271
2024-05-20 15:58:00,211.25,211.29,211.22,211.22,9315
2024-05-20 15:59:00,211.215,211.35,211.17,211.27,27492
2024-05-20 16:00:00,211.27,211.27,211.27,211.27,165116
2024-05-21 09:16:00,212.0,212.0,212.0,212.0,109
2024-05-21 09:30:00,212.0,212.02,211.9,212.02,12103
2024-05-21 09:31:00,211.865,211.865,211.14,211.37,5770
2024-05-21 09:32:00,211.84,211.88,211.67,211.67,1072
2024-05-21 09:33:00,212.3,212.3,211.845,211.845,300
2024-05-21 09:34:00,212.35,212.35,211.59,211.815,1147
2024-05-21 09:35:00,211.68,211.73,211.41,211.41,5600
2024-05-21 09:37:00,212.05,212.05,211.74,211.74,205
2024-05-21 09:38:00,211.46,211.46,211.46,211.46,100
2024-05-21 09:39:00,211.6601,211.83,211.43,211.67,1440
2024-05-21 09:40:00,211.98,211.98,211.64,211.64,400
2024-05-21 09:41:00,211.6928,211.8,211.6928,211.7,354
2024-05-21 09:42:00,212.0399,212.0399,211.7,211.71,1466
2024-05-21 09:43:00,211.87,211.875,211.74,211.74,400
2024-05-21 09:44:00,212.03,212.03,212.03,212.03,300
2024-05-21 09:45:00,211.88,212.34,211.74,212.26,5387
2024-05-21 09:46:00,212.14,212.14,211.9,211.92,2053
2024-05-21 09:47:00,211.9,212.115,211.89,212.115,1752
2024-05-21 09:48:00,212.115,212.115,211.93,211.93,2300
2024-05-21 09:49:00,212.11,212.11,212.11,212.11,100
2024-05-21 09:50:00,212.115,212.145,211.99,212.14,2893
2024-05-21 09:51:00,212.14,212.2,211.935,212.095,7988
